id_indiv,id_territoire,id_legis,id_mandat,id_inves,id_motif_deb,id_motif_fin,remporte,id_suppleant,date_deb,date_fin
PA343908,PO384561,13,1,,13,3,True,,2007-06-20,2012-06-19
PA793262,PO792716,16,1,,1,0,True,PA793266,2022-06-19,
PA720916,PO718480,15,1,,1,3,True,PA720920,2017-06-18,2022-06-21
PA344242,PO644741,14,1,,1,3,True,PA643084,2012-06-20,2017-06-20
PA2529,PO384621,13,1,,1,3,True,PA266778,2007-06-20,2012-06-19
PA2529,PO230789,12,1,,1,3,True,PA266778,2002-06-19,2007-06-19
PA2529,PO644775,14,1,,1,3,True,PA344693,2012-06-20,2017-06-20
PA2529,PO718144,15,1,,1,3,True,PA344693,2017-06-18,2022-06-21
PA1020,PO384676,13,1,,1,3,True,PA302886,2007-06-20,2012-06-19
PA1020,PO644819,14,1,,1,3,True,PA642957,2012-06-20,2017-06-20
PA1020,PO230844,12,1,,20,3,True,PA302886,2004-06-27,2007-06-19
PA1746,PO384696,13,1,,1,3,True,PA345722,2007-06-20,2012-06-19
PA1746,PO230864,12,1,,1,3,True,PA2064,2002-06-19,2007-06-19
PA794082,PO793038,16,1,,1,0,True,PA794086,2022-06-19,
PA1034,PO230734,12,1,,1,3,True,PA2267,2002-06-19,2007-06-19
PA2273,PO384644,13,1,,1,3,True,PA344982,2007-06-20,2012-06-19
PA2273,PO230812,12,1,,1,3,True,PA267021,2002-06-19,2007-06-19
PA794914,PO792272,16,1,,1,0,True,PA794918,2022-06-19,
PA1008,PO717760,15,1,,1,3,True,PA719588,2017-06-18,2022-06-21
PA1008,PO793034,16,1,,1,0,True,PA793960,2022-06-19,
PA268019,PO644946,14,1,,1,3,True,PA347008,2012-06-20,2017-06-20
PA268019,PO230960,12,1,,1,3,True,PA268020,2002-06-19,2007-06-19
PA268019,PO384792,13,1,,1,3,True,PA347008,2007-06-20,2012-06-19
PA268019,PO718466,15,1,,1,3,True,PA720842,2017-06-18,2022-06-21
PA605758,PO644500,14,1,,1,5,True,PA642699,2012-06-20,2016-03-03
PA342196,PO717766,15,1,,13,3,True,,2017-06-18,2022-06-21
PA342196,PO793036,16,1,,1,0,True,PA794078,2022-06-19,
PA610427,PO644960,14,1,,1,3,True,PA643043,2012-06-20,2017-06-20
PA721836,PO792372,16,1,,19,0,True,PA805166,2022-10-09,
PA721836,PO718268,15,1,,1,3,True,PA721840,2017-06-18,2022-06-21
PA721836,PO792372,16,1,,1,7,True,PA721840,2022-06-19,2022-08-04
PA796118,PO792456,16,1,,1,0,True,PA796122,2022-06-19,
PA268031,PO384826,13,1,,1,3,True,PA268032,2007-06-20,2012-06-19
PA268031,PO230994,12,1,,1,3,True,PA268032,2002-06-19,2007-06-19
PA795410,PO792412,16,1,,1,0,True,PA795414,2022-06-19,
PA267317,PO644807,14,1,,1,3,True,PA267318,2012-06-20,2017-06-20
PA267317,PO230821,12,1,,1,3,True,PA267318,2002-06-19,2007-06-19
PA267317,PO384653,13,1,,1,3,True,PA267318,2007-06-20,2012-06-19
PA718720,PO717476,15,1,,1,3,True,PA718724,2017-06-18,2022-06-21
PA795362,PO792484,16,1,,1,0,True,PA795366,2022-06-19,
PA1960,PO644614,14,1,,1,3,True,PA342601,2012-06-20,2017-06-20
PA1960,PO384460,13,1,,10,3,True,PA342601,2007-06-20,2012-06-19
PA1960,PO230628,12,1,,1,3,True,PA266818,2002-06-19,2007-06-19
PA1960,PO384460,13,1,,1,7,True,PA342601,2007-06-20,2010-12-15
PA1960,PO717854,15,1,,1,17,True,PA342601,2017-06-18,2019-01-09
PA267459,PO644593,14,1,,1,3,True,PA642786,2012-06-20,2017-06-20
PA267459,PO230607,12,1,,1,3,True,PA267460,2002-06-19,2007-06-19
PA267459,PO384439,13,1,,1,7,True,PA267460,2007-06-20,2011-07-29
PA267459,PO384439,13,1,,10,3,True,PA267460,2007-06-20,2012-06-19
PA1790,PO230666,12,1,,1,3,True,PA594,2002-06-19,2007-06-19
PA1790,PO644652,14,1,,1,3,True,PA594,2012-06-20,2017-06-20
PA1790,PO384498,13,1,,10,3,True,PA594,2007-06-20,2012-06-19
PA1790,PO384498,13,1,,1,7,True,PA594,2007-06-20,2011-07-29
